TimeStamp,B_x,B_y,B_z,B_net
2020/07/16 09:42:16.455,12,37,-7,40
2020/07/16 09:42:16.477,12,37,-7,40
2020/07/16 09:42:16.499,12,37,-7,40
2020/07/16 09:42:16.521,12,37,-7,40
2020/07/16 09:42:16.542,12,37,-7,40
2020/07/16 09:42:16.564,12,37,-7,40
2020/07/16 09:42:16.586,12,37,-7,40
2020/07/16 09:42:16.607,11,37,-6,39
2020/07/16 09:42:16.629,11,37,-6,39
2020/07/16 09:42:16.651,11,37,-6,39
2020/07/16 09:42:16.673,11,37,-6,39
2020/07/16 09:42:16.695,11,37,-6,39
2020/07/16 09:42:16.717,11,37,-6,39
2020/07/16 09:42:16.738,11,37,-6,39
2020/07/16 09:42:16.759,11,37,-6,39
2020/07/16 09:42:16.781,11,37,-6,39
2020/07/16 09:42:16.802,11,37,-6,39
2020/07/16 09:42:16.824,11,37,-6,39
2020/07/16 09:42:16.845,11,37,-6,39
2020/07/16 09:42:16.866,11,37,-6,39
2020/07/16 09:42:16.888,11,37,-6,39
2020/07/16 09:42:16.909,11,37,-6,39
2020/07/16 09:42:16.933,11,37,-6,39
2020/07/16 09:42:16.959,11,37,-6,39
2020/07/16 09:42:16.986,11,37,-6,39
2020/07/16 09:42:17.013,11,37,-6,39
2020/07/16 09:42:17.039,11,37,-6,39
2020/07/16 09:42:17.066,11,37,-6,39
2020/07/16 09:42:17.094,10,37,-6,39
2020/07/16 09:42:17.121,10,37,-6,39
2020/07/16 09:42:17.149,10,37,-6,39
2020/07/16 09:42:17.176,10,37,-6,39
2020/07/16 09:42:17.203,10,37,-6,39
2020/07/16 09:42:17.230,10,37,-6,39
2020/07/16 09:42:17.256,10,37,-7,39
2020/07/16 09:42:17.285,10,37,-7,39
2020/07/16 09:42:17.310,10,37,-7,39
2020/07/16 09:42:17.334,10,37,-7,39
2020/07/16 09:42:17.359,10,37,-7,39
2020/07/16 09:42:17.386,10,37,-7,39
2020/07/16 09:42:17.412,10,36,-7,38
2020/07/16 09:42:17.439,10,36,-7,38
2020/07/16 09:42:17.466,10,36,-7,38
2020/07/16 09:42:17.493,10,36,-7,38
2020/07/16 09:42:17.519,10,36,-7,38
2020/07/16 09:42:17.545,10,36,-7,38
2020/07/16 09:42:17.573,10,36,-7,38
2020/07/16 09:42:17.602,10,36,-7,38
2020/07/16 09:42:17.629,10,36,-7,38
2020/07/16 09:42:17.655,10,36,-7,38
2020/07/16 09:42:17.682,10,36,-7,38
2020/07/16 09:42:17.709,10,36,-7,38
2020/07/16 09:42:17.735,10,35,-8,37
2020/07/16 09:42:17.762,10,35,-8,37
2020/07/16 09:42:17.789,10,35,-8,37
2020/07/16 09:42:17.816,10,35,-8,37
2020/07/16 09:42:17.842,10,35,-8,37
2020/07/16 09:42:17.869,10,35,-8,37
2020/07/16 09:42:17.895,11,35,-9,38
2020/07/16 09:42:17.923,11,35,-9,38
2020/07/16 09:42:17.947,11,35,-9,38
2020/07/16 09:42:17.970,11,35,-9,38
2020/07/16 09:42:17.994,11,35,-9,38
2020/07/16 09:42:18.020,11,35,-9,38
2020/07/16 09:42:18.045,12,34,-10,37
2020/07/16 09:42:18.071,12,34,-10,37
2020/07/16 09:42:18.101,12,34,-10,37
2020/07/16 09:42:18.126,12,34,-10,37
2020/07/16 09:42:18.153,12,34,-10,37
2020/07/16 09:42:18.179,12,34,-10,37
2020/07/16 09:42:18.206,15,32,-11,37
2020/07/16 09:42:18.233,15,32,-11,37
2020/07/16 09:42:18.260,15,32,-11,37
2020/07/16 09:42:18.287,15,32,-11,37
2020/07/16 09:42:18.313,15,32,-11,37
2020/07/16 09:42:18.339,15,32,-11,37
2020/07/16 09:42:18.366,18,29,-12,36
2020/07/16 09:42:18.393,18,29,-12,36
2020/07/16 09:42:18.418,18,29,-12,36
2020/07/16 09:42:18.443,18,29,-12,36
2020/07/16 09:42:18.466,18,29,-12,36
2020/07/16 09:42:18.491,18,29,-12,36
2020/07/16 09:42:18.517,21,26,-14,36
2020/07/16 09:42:18.543,21,26,-14,36
2020/07/16 09:42:18.571,21,26,-14,36
2020/07/16 09:42:18.597,21,26,-14,36
2020/07/16 09:42:18.624,21,26,-14,36
2020/07/16 09:42:18.650,21,26,-14,36
2020/07/16 09:42:18.680,26,22,-14,37
2020/07/16 09:42:18.707,26,22,-14,37
2020/07/16 09:42:18.733,26,22,-14,37
2020/07/16 09:42:18.759,26,22,-14,37
2020/07/16 09:42:18.786,26,22,-14,37
2020/07/16 09:42:18.815,26,22,-14,37
2020/07/16 09:42:18.841,29,17,-15,37
2020/07/16 09:42:18.868,29,17,-15,37
2020/07/16 09:42:18.895,29,17,-15,37
2020/07/16 09:42:18.922,29,17,-15,37
2020/07/16 09:42:18.949,29,17,-15,37
2020/07/16 09:42:18.976,29,17,-15,37
2020/07/16 09:42:19.003,32,11,-16,37
2020/07/16 09:42:19.030,32,11,-16,37
2020/07/16 09:42:19.058,32,11,-16,37
2020/07/16 09:42:19.084,32,11,-16,37
