TimeStamp,B_x,B_y,B_z,B_net,CPU_load
2020/08/06 07:32:40.437,6,32,-17,37,103
2020/08/06 07:32:40.471,6,32,-17,37,79
2020/08/06 07:32:40.504,6,32,-17,37,94
2020/08/06 07:32:40.541,6,32,-17,37,80
2020/08/06 07:32:40.575,6,32,-17,37,88
2020/08/06 07:32:40.614,6,32,-17,37,91
2020/08/06 07:32:40.650,6,32,-17,37,85
2020/08/06 07:32:40.685,6,32,-17,37,91
2020/08/06 07:32:40.717,6,32,-17,37,77
2020/08/06 07:32:40.755,6,32,-17,37,86
2020/08/06 07:32:40.786,6,32,-17,37,89
2020/08/06 07:32:40.821,6,32,-17,37,96
2020/08/06 07:32:40.854,6,32,-17,37,82
2020/08/06 07:32:40.886,6,32,-17,37,94
2020/08/06 07:32:40.918,6,32,-17,37,93
2020/08/06 07:32:40.952,6,32,-17,37,37
2020/08/06 07:32:40.987,6,32,-17,37,90
2020/08/06 07:32:41.021,6,32,-17,37,93
2020/08/06 07:32:41.054,6,32,-17,37,80
2020/08/06 07:32:41.089,6,32,-17,37,83
2020/08/06 07:32:41.125,6,32,-17,37,89
2020/08/06 07:32:41.158,6,32,-17,37,89
2020/08/06 07:32:41.192,6,32,-17,37,87
2020/08/06 07:32:41.230,6,32,-17,37,75
2020/08/06 07:32:41.262,6,32,-17,37,71
2020/08/06 07:32:41.293,6,32,-17,37,45
2020/08/06 07:32:41.324,6,32,-17,37,50
2020/08/06 07:32:41.359,6,32,-17,37,60
2020/08/06 07:32:41.395,6,32,-17,37,19
2020/08/06 07:32:41.428,6,32,-17,37,64
2020/08/06 07:32:41.462,6,32,-17,37,72
2020/08/06 07:32:41.495,6,32,-17,37,81
2020/08/06 07:32:41.537,6,32,-17,37,52
2020/08/06 07:32:41.599,6,32,-17,37,73
2020/08/06 07:32:41.633,6,32,-17,37,68
2020/08/06 07:32:41.666,6,32,-17,37,58
2020/08/06 07:32:41.699,6,32,-17,37,62
2020/08/06 07:32:41.731,6,32,-17,37,57
2020/08/06 07:32:41.763,6,32,-17,37,68
2020/08/06 07:32:41.795,6,32,-17,37,56
2020/08/06 07:32:41.827,6,32,-17,37,61
2020/08/06 07:32:41.858,6,32,-17,37,71
2020/08/06 07:32:41.888,6,32,-17,37,63
2020/08/06 07:32:41.922,6,32,-17,37,52
2020/08/06 07:32:41.953,6,32,-17,37,66
2020/08/06 07:32:41.985,6,32,-17,37,93
2020/08/06 07:32:42.017,6,32,-17,37,90
2020/08/06 07:32:42.050,6,32,-17,37,80
2020/08/06 07:32:42.082,6,32,-17,37,51
2020/08/06 07:32:42.116,6,32,-17,37,50
2020/08/06 07:32:42.148,6,32,-17,37,63
2020/08/06 07:32:42.180,6,32,-17,37,32
2020/08/06 07:32:42.211,6,32,-17,37,37
2020/08/06 07:32:42.241,6,32,-17,37,54
2020/08/06 07:32:42.272,6,32,-17,37,45
2020/08/06 07:32:42.303,6,32,-17,37,58
2020/08/06 07:32:42.334,6,32,-17,37,45
2020/08/06 07:32:42.365,6,32,-17,37,61
2020/08/06 07:32:42.395,6,32,-17,37,39
2020/08/06 07:32:42.426,6,32,-17,37,37
2020/08/06 07:32:42.458,6,32,-17,37,63
2020/08/06 07:32:42.489,6,32,-17,37,73
2020/08/06 07:32:42.520,6,32,-17,37,47
2020/08/06 07:32:42.550,6,32,-17,37,44
2020/08/06 07:32:42.583,6,32,-17,37,69
2020/08/06 07:32:42.614,6,32,-17,37,52
2020/08/06 07:32:42.644,6,32,-17,37,45
2020/08/06 07:32:42.675,6,32,-17,37,22
2020/08/06 07:32:42.710,6,32,-17,37,14
2020/08/06 07:32:42.747,6,32,-17,37,33
2020/08/06 07:32:42.783,6,32,-17,37,21
2020/08/06 07:32:42.818,6,32,-17,37,12
2020/08/06 07:32:42.853,6,32,-17,37,25
2020/08/06 07:32:42.888,6,32,-17,37,19
2020/08/06 07:32:42.924,6,32,-17,37,8
2020/08/06 07:32:42.961,6,32,-17,37,28
2020/08/06 07:32:43.001,6,32,-17,37,25
2020/08/06 07:32:43.048,6,32,-17,37,24
2020/08/06 07:32:43.093,6,32,-17,37,21
2020/08/06 07:32:43.129,6,32,-17,37,21
2020/08/06 07:32:43.165,6,32,-17,37,25
2020/08/06 07:32:43.204,6,32,-17,37,15
2020/08/06 07:32:43.243,6,32,-17,37,24
2020/08/06 07:32:43.293,6,32,-17,37,22
2020/08/06 07:32:43.326,6,32,-17,37,32
2020/08/06 07:32:43.359,6,32,-17,37,37
2020/08/06 07:32:43.392,6,32,-17,37,66
2020/08/06 07:32:43.440,6,32,-17,37,78
2020/08/06 07:32:43.470,6,32,-17,37,44
2020/08/06 07:32:43.502,6,32,-17,37,41
2020/08/06 07:32:43.534,6,32,-17,37,68
2020/08/06 07:32:43.565,6,32,-17,37,46
2020/08/06 07:32:43.596,6,32,-17,37,45
2020/08/06 07:32:43.629,6,32,-17,37,51
2020/08/06 07:32:43.661,6,32,-17,37,66
2020/08/06 07:32:43.693,6,32,-17,37,40
2020/08/06 07:32:43.730,6,32,-17,37,47
2020/08/06 07:32:43.770,6,32,-17,37,59
2020/08/06 07:32:43.801,6,32,-17,37,81
2020/08/06 07:32:43.831,6,32,-17,37,55
2020/08/06 07:32:43.862,6,32,-17,37,30
2020/08/06 07:32:43.892,6,32,-17,37,19
2020/08/06 07:32:43.922,6,32,-17,37,21
2020/08/06 07:32:43.953,6,32,-17,37,75
2020/08/06 07:32:43.983,6,32,-17,37,59
2020/08/06 07:32:44.014,6,32,-17,37,35
2020/08/06 07:32:44.044,6,32,-17,37,37
2020/08/06 07:32:44.074,6,32,-17,37,31
2020/08/06 07:32:44.104,6,32,-17,37,32
2020/08/06 07:32:44.134,6,32,-17,37,16
2020/08/06 07:32:44.165,6,32,-17,37,35
2020/08/06 07:32:44.195,6,32,-17,37,40
2020/08/06 07:32:44.226,6,32,-17,37,51
2020/08/06 07:32:44.257,6,32,-17,37,58
2020/08/06 07:32:44.288,6,32,-17,37,52
2020/08/06 07:32:44.318,6,32,-17,37,43
2020/08/06 07:32:44.348,6,32,-17,37,16
2020/08/06 07:32:44.378,6,32,-17,37,15
2020/08/06 07:32:44.408,6,32,-17,37,30
2020/08/06 07:32:44.438,6,32,-17,37,26
2020/08/06 07:32:44.468,6,32,-17,37,20
2020/08/06 07:32:44.498,6,32,-17,37,17
2020/08/06 07:32:44.529,6,32,-17,37,20
2020/08/06 07:32:44.559,6,32,-17,37,34
2020/08/06 07:32:44.589,6,32,-17,37,26
2020/08/06 07:32:44.620,6,32,-17,37,25
2020/08/06 07:32:44.650,6,32,-17,37,38
2020/08/06 07:32:44.685,6,32,-17,37,40
2020/08/06 07:32:44.716,6,32,-17,37,22
2020/08/06 07:32:44.748,6,32,-17,37,19
2020/08/06 07:32:44.779,6,32,-17,37,18
2020/08/06 07:32:44.809,6,32,-17,37,28
2020/08/06 07:32:44.840,6,32,-17,37,31
2020/08/06 07:32:44.871,6,32,-17,37,25
2020/08/06 07:32:44.902,6,32,-17,37,21
2020/08/06 07:32:44.952,6,32,-17,37,34
2020/08/06 07:32:44.983,6,32,-17,37,22
2020/08/06 07:32:45.013,6,32,-17,37,15
2020/08/06 07:32:45.043,6,32,-17,37,15
2020/08/06 07:32:45.073,6,32,-17,37,15
2020/08/06 07:32:45.104,6,32,-17,37,22
2020/08/06 07:32:45.134,6,32,-17,37,16
2020/08/06 07:32:45.165,6,32,-17,37,43
2020/08/06 07:32:45.196,6,32,-17,37,50
2020/08/06 07:32:45.226,6,32,-17,37,34
2020/08/06 07:32:45.256,6,32,-17,37,16
2020/08/06 07:32:45.286,6,32,-17,37,26
2020/08/06 07:32:45.316,6,32,-17,37,22
2020/08/06 07:32:45.346,6,32,-17,37,38
2020/08/06 07:32:45.376,6,32,-17,37,31
2020/08/06 07:32:45.406,6,32,-17,37,27
2020/08/06 07:32:45.436,6,32,-17,37,18
2020/08/06 07:32:45.466,6,32,-17,37,13
2020/08/06 07:32:45.497,6,32,-17,37,26
2020/08/06 07:32:45.527,6,32,-17,37,22
2020/08/06 07:32:45.557,6,32,-17,37,16
2020/08/06 07:32:45.587,6,32,-17,37,30
2020/08/06 07:32:45.620,6,32,-17,37,36
2020/08/06 07:32:45.660,6,32,-17,37,67
2020/08/06 07:32:45.691,6,32,-17,37,48
2020/08/06 07:32:45.722,6,32,-17,37,53
2020/08/06 07:32:45.754,6,32,-17,37,59
2020/08/06 07:32:45.792,6,32,-17,37,77
2020/08/06 07:32:45.823,6,32,-17,37,43
2020/08/06 07:32:45.853,6,32,-17,37,39
2020/08/06 07:32:45.884,6,32,-17,37,37
2020/08/06 07:32:45.914,6,32,-17,37,29
2020/08/06 07:32:45.947,6,32,-17,37,52
2020/08/06 07:32:45.978,6,32,-17,37,26
2020/08/06 07:32:46.012,6,32,-17,37,46
2020/08/06 07:32:46.044,6,32,-17,37,56
2020/08/06 07:32:46.075,6,32,-17,37,31
2020/08/06 07:32:46.107,6,32,-17,37,47
2020/08/06 07:32:46.139,6,32,-17,37,26
2020/08/06 07:32:46.172,6,32,-17,37,51
2020/08/06 07:32:46.205,6,32,-17,37,70
2020/08/06 07:32:46.237,6,32,-17,37,40
2020/08/06 07:32:46.269,6,32,-17,37,56
2020/08/06 07:32:46.303,6,32,-17,37,54
2020/08/06 07:32:46.336,6,32,-17,37,56
2020/08/06 07:32:46.369,6,32,-17,37,41
2020/08/06 07:32:46.400,6,32,-17,37,78
