,0,1
0,1.0,0.0
1,1.0,0.22641509433962265
2,1.0,0.5094339622641509
3,0.75,0.38679245283018865
4,0.75,0.2358490566037736
5,0.75,0.4528301886792453
6,0.75,0.2358490566037736
7,0.75,0.330188679245283
8,0.75,0.36792452830188677
9,0.75,0.3962264150943396
10,0.75,0.3773584905660377
11,0.75,0.27358490566037735
12,0.75,0.33962264150943394
13,0.75,0.2830188679245283
14,0.75,0.330188679245283
15,0.75,0.3584905660377358
16,0.75,0.3113207547169811
17,0.75,0.24528301886792453
18,0.75,0.3962264150943396
19,0.75,0.49056603773584906
20,0.75,0.36792452830188677
21,1.0,0.36792452830188677
22,1.0,0.32075471698113206
23,1.0,0.24528301886792453
24,1.0,0.12264150943396226
25,1.0,0.08490566037735849
26,1.0,0.1981132075471698
27,0.5,0.40566037735849053
28,0.5,0.330188679245283
29,0.5,0.27358490566037735
30,0.5,0.4245283018867924
31,0.5,0.4811320754716981
32,0.5,0.2830188679245283
33,0.75,0.6320754716981132
34,0.75,0.3113207547169811
35,0.75,0.2358490566037736
36,0.75,0.40566037735849053
37,0.75,0.3490566037735849
38,0.75,0.4528301886792453
39,0.75,0.3018867924528302
40,0.75,0.820754716981132
41,0.75,0.6320754716981132
42,0.75,0.6886792452830188
43,0.75,0.8113207547169811
44,0.75,0.6132075471698113
45,0.75,0.5377358490566038
46,0.75,0.38679245283018865
47,0.75,0.38679245283018865
48,0.75,0.4528301886792453
49,0.75,0.33962264150943394
50,0.75,0.2830188679245283
51,0.75,0.3773584905660377
52,0.75,0.4716981132075472
53,0.75,0.4150943396226415
54,0.75,0.2830188679245283
55,0.75,0.2830188679245283
56,0.75,0.29245283018867924
57,0.75,0.3018867924528302
58,0.75,0.3018867924528302
59,0.75,0.29245283018867924
60,0.75,0.29245283018867924
61,0.75,0.2358490566037736
62,0.75,0.25471698113207547
63,0.75,0.3018867924528302
64,0.75,0.27358490566037735
65,0.75,0.49056603773584906
66,0.75,0.4150943396226415
67,0.75,0.7735849056603773
68,0.75,0.9433962264150944
69,0.75,0.8679245283018867
70,0.75,0.8867924528301886
71,0.75,0.820754716981132
72,0.75,0.7830188679245282
73,0.75,0.7641509433962264
74,0.75,0.8018867924528301
75,0.75,0.6698113207547169
76,0.75,0.8113207547169811
77,0.75,0.6981132075471698
78,0.75,0.5188679245283019
79,0.75,0.4245283018867924
80,0.75,0.49056603773584906
81,0.75,0.7547169811320754
82,0.75,0.7358490566037735
83,0.75,0.7735849056603773
84,0.75,0.5849056603773585
85,0.75,0.7641509433962264
86,0.75,0.5377358490566038
87,0.75,0.5283018867924528
88,0.75,0.5943396226415094
89,0.75,0.8018867924528301
90,0.75,0.6226415094339622
91,0.75,0.6320754716981132
